pts, length, steps, init_time, run_time, stacks, stack_items, error_items
186, 406, 258, 0.445968, 0.179455, 7, 84, 11
195, 523, 253, 0.6503, 0.441261, 7, 51, 2
60, 75, 77, 0.100032, 0.056067, 7, 25, 4
215, 869, 69, 1.344385, 0.143433, 5, 16, 0
33, 51, 41, 0.027804, 0.000561, 5, 15, 0
96, 154, 175, 0.098647, 0.016758, 7, 71, 2
191, 527, 612, 0.657779, 0.482446, 7, 210, 51
198, 619, 251, 0.912784, 0.302142, 7, 74, 14
167, 468, 230, 0.620077, 0.146025, 7, 81, 6
247, 867, 327, 1.339246, 0.335533, 7, 107, 16
302, 2505, 396, 4.64257, 0.827291, 7, 107, 10
210, 418, 290, 0.512239, 0.361862, 7, 111, 10
27, 40, 36, 0.029101, 0.002635, 7, 18, 3
105, 189, 121, 0.193681, 0.203815, 7, 46, 7
81, 143, 190, 0.156001, 0.04741, 7, 58, 6
170, 611, 255, 0.877555, 0.05275, 7, 70, 4
294, 1555, 10000, 2.425635, 0.384934, 7, 3424, 13
164, 365, 65, 0.414012, 0.084024, 6, 25, 3
50, 59, 65, 0.017393, 0.206291, 7, 28, 7
117, 144, 1027, 0.054626, 0.039664, 7, 228, 177
97, 159, 141, 0.156093, 0.047114, 7, 32, 3
152, 307, 967, 0.347107, 0.527845, 7, 195, 2
271, 485, 430, 0.463187, 0.716401, 7, 122, 25
35, 48, 45, 0.0843839999999999, 0.003142, 6, 19, 1
71, 132, 87, 0.100576, 0.001261, 7, 32, 5
167, 466, 92, 0.571017, 0.297224, 7, 36, 10
303, 1212, 10000, 1.870506, 0.927335, 7, 3403, 6
231, 677, 544, 0.880736, 0.415711, 7, 145, 9
304, 1811, 383, 2.973969, 0.438954, 7, 114, 15
61, 94, 30, 0.044188, 0.000415, 7, 14, 2
158, 450, 225, 0.528487, 0.516228, 7, 72, 8
34, 40, 39, 0.012155, 0.000514, 6, 19, 6
206, 532, 74, 0.597803, 0.000972, 7, 31, 4
163, 432, 190, 0.522877, 0.014018, 7, 63, 7
194, 664, 10000, 0.942596, 0.314317, 7, 1466, 8
44, 59, 10000, 0.029274, 0.134029, 7, 3350, 4
218, 915, 325, 1.401925, 0.721992, 7, 51, 11
123, 166, 70, 0.093958, 0.151409, 7, 24, 8
10, 10, 15, 0.006798, 0.000216, 6, 7, 2
153, 223, 1226, 0.128589, 0.173812, 7, 303, 14
174, 235, 155, 0.164247, 0.062262, 7, 57, 3
114, 204, 168, 0.19306, 0.168086, 7, 51, 7
92, 146, 593, 0.089533, 0.25794, 7, 184, 6
303, 1268, 10000, 1.909871, 0.304121, 6, 157, 1
230, 993, 10000, 1.565432, 0.063994, 5, 2632, 1
49, 81, 552, 0.118871, 0.116233, 6, 117, 99
167, 551, 219, 0.752272, 0.174562, 7, 72, 7
116, 266, 854, 0.265329, 0.094881, 7, 201, 142
287, 1394, 10000, 2.233441, 0.148231, 7, 3301, 20
60, 94, 106, 0.102748, 0.100038, 7, 38, 2
155, 310, 218, 0.293637, 0.168493, 7, 70, 4
275, 1031, 278, 1.576971, 0.292142, 7, 86, 7
116, 209, 22, 0.178281, 0.002294, 5, 7, 0
261, 1361, 564, 2.212803, 0.794461, 7, 125, 10
140, 413, 60, 0.512789, 0.096406, 6, 19, 6
215, 1007, 178, 1.553399, 0.191529, 7, 60, 3
268, 870, 10000, 1.237362, 0.574555, 7, 2102, 11
60, 76, 78, 0.037275, 0.070031, 7, 25, 2
60, 79, 105, 0.036964, 0.2045, 7, 43, 10
249, 880, 10000, 1.25576, 0.240771, 4, 2121, 0
150, 305, 59, 0.342384, 0.00063, 7, 26, 5
33, 48, 46, 0.036845, 0.000957, 5, 21, 0
152, 208, 216, 0.134979, 0.29982, 7, 52, 13
18, 25, 24, 0.078281, 0.000225, 7, 15, 2
196, 575, 10000, 0.769777, 0.344397, 7, 3423, 3326
152, 240, 201, 0.189637, 0.255094, 6, 57, 9
119, 251, 176, 0.33074, 0.126739, 6, 37, 4
87, 168, 146, 0.17288, 0.113057, 7, 50, 1
18, 24, 24, 0.019756, 0.000309, 5, 10, 0
73, 150, 449, 0.213956, 0.709787, 7, 82, 10
106, 291, 116, 0.399072, 0.014705, 7, 24, 3
262, 827, 1439, 1.189995, 0.646312, 7, 268, 5
258, 876, 408, 1.374797, 0.771872, 7, 133, 9
52, 68, 71, 0.024943, 0.048475, 7, 31, 2
93, 146, 130, 0.080326, 0.004039, 7, 49, 4
210, 801, 209, 1.213948, 0.395783, 7, 50, 15
308, 2188, 535, 3.829543, 0.917207, 7, 174, 8
166, 450, 228, 0.578306, 0.097875, 7, 67, 5
304, 1260, 397, 1.958708, 0.51588, 7, 86, 11
223, 701, 301, 0.982141, 0.125833, 7, 91, 5
127, 331, 9, 0.447606, 0.000311, 6, 5, 4
20, 30, 24, 0.020525, 0.000532, 7, 13, 3
303, 1583, 843, 2.658353, 0.173405, 7, 227, 10
74, 143, 88, 0.097712, 0.003297, 7, 43, 2
75, 112, 363, 0.114941, 0.023611, 7, 91, 4
205, 496, 650, 0.53763, 0.233776, 7, 139, 9
285, 860, 338, 1.130588, 0.790057, 7, 104, 9
199, 615, 247, 0.869401, 0.291194, 7, 91, 6
33, 59, 44, 0.038005, 0.008316, 7, 23, 1
66, 117, 78, 0.139811, 0.048733, 7, 27, 4
152, 246, 227, 0.194453, 0.406648, 7, 76, 10
220, 741, 10000, 1.088172, 0.401222, 7, 2570, 6
92, 152, 113, 0.161477, 0.10706, 7, 37, 10
49, 83, 58, 0.11665, 0.004442, 7, 27, 3
282, 1559, 213, 2.536484, 0.25539, 7, 81, 11
59, 97, 34, 0.061839, 0.015669, 6, 16, 4
281, 809, 51, 1.238496, 0.000756, 7, 21, 5
184, 492, 10000, 0.677978, 0.0958429999999999, 7, 3371, 14
49, 64, 66, 0.109816, 0.000993, 7, 28, 7
157, 267, 875, 0.231985, 0.391857, 7, 191, 123
249, 1150, 326, 1.903471, 0.733496, 7, 53, 7
72, 94, 89, 0.038732, 0.132933, 7, 28, 5
158, 236, 10000, 0.204092, 0.079384, 6, 3398, 3
38, 47, 48, 0.021699, 0.004812, 6, 19, 6
98, 205, 10000, 0.237179, 0.176763, 7, 3342, 6
222, 943, 10000, 1.444339, 0.131634, 5, 3431, 0
65, 80, 160, 0.090363, 0.162718, 7, 37, 7
229, 1015, 321, 1.600423, 0.495623, 7, 116, 9
81, 99, 946, 0.032916, 0.077197, 7, 223, 115
136, 289, 205, 0.392284, 0.064662, 7, 76, 16
62, 101, 82, 0.135662, 0.079947, 6, 23, 3
234, 1097, 10000, 1.880372, 0.462244, 7, 3413, 3313
86, 126, 10000, 0.123476, 0.10682, 7, 2531, 3
18, 21, 24, 0.011825, 0.000201, 6, 10, 1
181, 335, 153, 0.306079, 0.237837, 7, 44, 4
221, 572, 467, 0.783755, 0.014862, 6, 42, 4
206, 523, 1647, 0.673058, 0.374057, 7, 483, 13
124, 271, 486, 0.439912, 0.143852, 7, 186, 8
140, 275, 128, 0.483604, 0.108174, 6, 34, 3
68, 118, 110, 0.082795, 0.068514, 7, 46, 7
227, 729, 1175, 1.076067, 0.297156, 7, 81, 6
70, 118, 85, 0.081382, 0.009537, 7, 37, 3
46, 68, 158, 0.03117, 0.19578, 7, 52, 4
181, 493, 692, 0.592585, 0.227781, 7, 84, 4
162, 455, 421, 0.553429, 0.18466, 7, 121, 7
112, 278, 184, 0.284935, 0.222367, 7, 42, 3
219, 654, 333, 0.949452, 0.506936, 7, 116, 11
10, 14, 12, 0.019902, 0.000147, 5, 7, 1
189, 481, 34, 0.700013, 0.049844, 6, 7, 1
306, 2204, 653, 3.819972, 0.565427, 7, 138, 32
